"Treatment","emmean","SE","df","lower.CL","upper.CL",".group","label","max_y"
"Fill Sand",148.875,7.13532262391606,19,129.254539454555,168.495460545445," a","a",163.75
"Soil Inversion",144.291666666667,7.13532262391606,19,124.671206121222,163.912127212111," a","a",185.5
"Control",141.166666666667,7.13532262391606,19,121.546206121222,160.787127212111," a","a",165
"Preemergent",135.25,7.13532262391606,19,115.629539454555,154.870460545445," a","a",156.25
