"Month","Treatment","Number_of_Plots"
"Pre-Treatment","Control",6
"Pre-Treatment","Fill Sand",6
"Pre-Treatment","Preemergent",6
"Pre-Treatment","Soil Inversion",6
"Post-Treatment","Control",6
"Post-Treatment","Fill Sand",6
"Post-Treatment","Preemergent",6
"Post-Treatment","Soil Inversion",6
