"Treatment","emmean","SE","df","lower.CL","upper.CL",".group","label","max_y"
"Preemergent",155.041666666667,5.69871893306471,19,139.371528695469,170.711804637865," a ","a",167
"Control",145.541666666667,5.69871893306471,19,129.871528695469,161.211804637865," a ","a",187.25
"Fill Sand",54.9166666666667,5.69871893306471,19,39.2465286954687,70.5868046378647,"  b","b",62.25
"Soil Inversion",51.1250000000001,5.69871893306471,19,35.4548620288021,66.7951379711981,"  b","b",60.75
