"","parent_call","Soil.Inversion_vs_Control.Df","Soil.Inversion_vs_Control.SumOfSqs","Soil.Inversion_vs_Control.R2","Soil.Inversion_vs_Control.F","Soil.Inversion_vs_Control.Pr..F.","Soil.Inversion_vs_Preemergent.Df","Soil.Inversion_vs_Preemergent.SumOfSqs","Soil.Inversion_vs_Preemergent.R2","Soil.Inversion_vs_Preemergent.F","Soil.Inversion_vs_Preemergent.Pr..F.","Soil.Inversion_vs_Fill.Sand.Df","Soil.Inversion_vs_Fill.Sand.SumOfSqs","Soil.Inversion_vs_Fill.Sand.R2","Soil.Inversion_vs_Fill.Sand.F","Soil.Inversion_vs_Fill.Sand.Pr..F.","Control_vs_Preemergent.Df","Control_vs_Preemergent.SumOfSqs","Control_vs_Preemergent.R2","Control_vs_Preemergent.F","Control_vs_Preemergent.Pr..F.","Control_vs_Fill.Sand.Df","Control_vs_Fill.Sand.SumOfSqs","Control_vs_Fill.Sand.R2","Control_vs_Fill.Sand.F","Control_vs_Fill.Sand.Pr..F.","Preemergent_vs_Fill.Sand.Df","Preemergent_vs_Fill.Sand.SumOfSqs","Preemergent_vs_Fill.Sand.R2","Preemergent_vs_Fill.Sand.F","Preemergent_vs_Fill.Sand.Pr..F."
"Model","Veg_Spp ~ Treatment , strata = Null , permutations 999",1,2.74033097014163,0.362522440291831,26.1594027891089,0.001,1,3.46476927342361,0.48339410368141,43.0427312731094,0.001,1,2.65354324521642,0.338638620819394,23.5535019855434,0.001,1,0.146932607187779,0.0465831567760392,2.2475218755858,0.018,1,1.90123336854532,0.297623221387162,19.4919145972449,0.001,1,2.14135211040527,0.388471081361195,29.2212995951048,0.001
"Residual","Veg_Spp ~ Treatment , strata = Null , permutations 999",46,4.81873480227141,0.637477559708169,NA,NA,46,3.70281768520245,0.51660589631859,NA,NA,46,5.18237115461111,0.661361379180606,NA,NA,46,3.00726769517034,0.953416843223961,NA,NA,46,4.486821164579,0.702376778612838,NA,NA,46,3.37090404751004,0.611528918638805,NA,NA
"Total","Veg_Spp ~ Treatment , strata = Null , permutations 999",47,7.55906577241304,1,NA,NA,47,7.16758695862605,1,NA,NA,47,7.83591439982753,1,NA,NA,47,3.15420030235812,1,NA,NA,47,6.38805453312433,1,NA,NA,47,5.51225615791531,1,NA,NA
