"","NMDS1","NMDS2","envfit_result$vectors$pvals"
"Bare Ground",-0.880706565647422,-0.473662269159707,0.033
"Cynodon dactylon",-0.912584823464208,0.40888744170346,0.019
"Cyperus spp.",0.920566430837518,-0.390586029467354,0.001
"Indigofera hirsuta",-0.974409725119463,-0.224779197419629,0.131
"Oenothera laciniata",-0.638512989044996,-0.769611046451923,0.049
"Oxalis corniculata",0.0775698481338925,0.996986920004713,0.032
"Paspalum notatum",-0.417355763941847,0.908743179509215,0.002
"Richardia spp.",-0.216845008232794,-0.976206045056329,0.001
