"","Species","Contribution","SD","P_value","Cumulative_Contribution","Rank"
"Cyperus spp.","Cyperus spp.",0.0214305962966601,0.0354063044070314,0.05,0.925483617837785,1
"Richardia spp.","Richardia spp.",0.0130104036195943,0.0252509692445612,0.06,1,2
"Oenothera laciniata","Oenothera laciniata",0.00148454042086661,0.00542730398561736,0.7,0.981893793839995,3
"Cynodon dactylon","Cynodon dactylon",0.00146749926868767,0.00400261635959263,0.87,0.887240133491067,4
"Indigofera hirsuta","Indigofera hirsuta",0.000722238090603681,0.00149486108393132,0.31,0.963288102324717,5
"Paspalum notatum","Paspalum notatum",0.000702849004797289,0.00106847919108641,0.91,1,6
"Bare Ground","Bare Ground",0,0,NA,0.552077035082485,7
"Oxalis corniculata","Oxalis corniculata",0,0,NA,1,8
