"","NMDS1","NMDS2","envfit_result$vectors$pvals"
"Bare Ground",-0.881000609838669,-0.473115129185163,0.016
"Cynodon dactylon",-0.896393497588148,0.443259176421298,0.013
"Cyperus spp.",0.916532953394937,-0.399959179593561,0.001
"Indigofera hirsuta",-0.994281216420321,-0.106793551648624,0.139
"Oenothera laciniata",-0.634833048244472,-0.772649338870249,0.062
"Oxalis corniculata",0.078097264407324,0.996945744407434,0.031
"Paspalum notatum",-0.418274193148653,0.908320813009282,0.003
"Richardia spp.",-0.22327110194267,-0.974756387533473,0.001
