"","parent_call","Soil.Inversion_vs_Control.Df","Soil.Inversion_vs_Control.SumOfSqs","Soil.Inversion_vs_Control.R2","Soil.Inversion_vs_Control.F","Soil.Inversion_vs_Control.Pr..F.","Soil.Inversion_vs_Preemergent.Df","Soil.Inversion_vs_Preemergent.SumOfSqs","Soil.Inversion_vs_Preemergent.R2","Soil.Inversion_vs_Preemergent.F","Soil.Inversion_vs_Preemergent.Pr..F.","Soil.Inversion_vs_Fill.Sand.Df","Soil.Inversion_vs_Fill.Sand.SumOfSqs","Soil.Inversion_vs_Fill.Sand.R2","Soil.Inversion_vs_Fill.Sand.F","Soil.Inversion_vs_Fill.Sand.Pr..F.","Control_vs_Preemergent.Df","Control_vs_Preemergent.SumOfSqs","Control_vs_Preemergent.R2","Control_vs_Preemergent.F","Control_vs_Preemergent.Pr..F.","Control_vs_Fill.Sand.Df","Control_vs_Fill.Sand.SumOfSqs","Control_vs_Fill.Sand.R2","Control_vs_Fill.Sand.F","Control_vs_Fill.Sand.Pr..F.","Preemergent_vs_Fill.Sand.Df","Preemergent_vs_Fill.Sand.SumOfSqs","Preemergent_vs_Fill.Sand.R2","Preemergent_vs_Fill.Sand.F","Preemergent_vs_Fill.Sand.Pr..F."
"Model","Veg_Spp ~ Treatment , strata = Null , permutations 999",1,0.118891541711123,0.0292831304707396,1.38765900123611,0.181,1,0.14452072154479,0.0360390173749873,1.71977375550511,0.088,1,0.0405284253415032,0.0104509556356316,0.485821255628474,0.861,1,0.155897729007127,0.0389242573690171,1.86303301555939,0.066,1,0.0987426660378161,0.0251904920771587,1.18870674334971,0.321,1,0.100838236021088,0.0262165772690039,1.23842994881966,0.272
"Residual","Veg_Spp ~ Treatment , strata = Null , permutations 999",46,3.94117784977427,0.970716869529261,NA,NA,46,3.86559753559433,0.963960982625013,NA,NA,46,3.83743515564673,0.989549044364368,NA,NA,46,3.84925842668151,0.961075742630983,NA,NA,46,3.82109604673392,0.974809507922841,NA,NA,46,3.74551573255398,0.973783422730996,NA,NA
"Total","Veg_Spp ~ Treatment , strata = Null , permutations 999",47,4.06006939148539,1,NA,NA,47,4.01011825713912,1,NA,NA,47,3.87796358098824,1,NA,NA,47,4.00515615568864,1,NA,NA,47,3.91983871277173,1,NA,NA,47,3.84635396857506,1,NA,NA
